name,ancestry
ソフトドリンク,13/153
ミネラルウォーター,13/153
茶,13/153
ウイスキー,13/153
ワイン,13/153
ブランデー,13/153
焼酎,13/153
日本酒,13/153
ビール、発泡酒,13/153
その他,13/153
タオル/バス用品,13/154
日用品/生活雑貨,13/154
洗剤/柔軟剤,13/154
旅行用品,13/154
防災関連グッズ,13/154
その他,13/154
雑貨,13/155
工芸品,13/155
家具,13/155
印刷物,13/155
その他,13/155
筆記具,13/156
ノート/メモ帳,13/156
テープ/マスキングテープ,13/156
カレンダー/スケジュール,13/156
アルバム/スクラップ,13/156
ファイル/バインダー,13/156
はさみ/カッター,13/156
カードホルダー/名刺管理,13/156
のり/ホッチキス,13/156
その他,13/156
オフィス用品一般,13/157
オフィス家具,13/157
店舗用品,13/157
OA機器,13/157
ラッピング/包装,13/157
その他,13/157
